	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
Jordan	0.6621922428330522	0.41423271500843173	0.4081618887015177	0.47264755480607085	0.49409780775716694	0.4813490725126476	0.5292411467116358	0.4494435075885329	0.4998988195615514	0.5313322091062395	0.0	0.40802698145025296	0.5666779089376054	0.5167622259696458	0.4613827993254637	0.4972006745362563	0.48647554806070825	0.5541989881956155	0.46887015177065766	0.4868128161888702	0.49524451939291736	0.3157504215851602	0.47258010118043847	0.43446880269814503	0.40114671163575044	0.49355817875210795	0.46650927487352445	0.47386172006745364	0.6012816188870151	0.5579763912310287	0.45504215851602026	0.47649241146711635	0.7253288364249578	0.6175379426644182	0.47622259696458685	0.49956155143338954	0.5238448566610455	0.5380775716694772	0.5741652613827993	0.5505564924114671	0.503743676222597	0.5381450252951097	0.6854637436762226	0.40559865092748737	0.5165598650927488
Corey	0.5902866779089376	0.4082293423271501	0.45720067453625635	0.5017200674536256	0.5121753794266442	0.5507588532883643	0.5265430016863406	0.3622934232715008	0.4279258010118044	0.4790556492411467	0.40802698145025296	0.0	0.4936256323777403	0.5173693086003373	0.44795952782462056	0.4336593591905565	0.5779426644182125	0.48856661045531197	0.489106239460371	0.42381112984822933	0.40829679595278245	0.4105902192242833	0.3867116357504216	0.46266441821247895	0.49450252951096124	0.3858347386172007	0.4688026981450253	0.37220910623946035	0.49018549747048906	0.49531197301854973	0.42799325463743676	0.46927487352445196	0.725531197301855	0.5747048903878583	0.4484991568296796	0.4796627318718381	0.40978077571669475	0.40951096121416525	0.49146711635750423	0.47892074198988194	0.4572681281618887	0.5433389544688026	0.5674873524451939	0.429814502529511	0.5009106239460371
Theodora	0.5413153456998314	0.4410118043844857	0.49005059021922426	0.5938617200674536	0.5777403035413153	0.55858347386172	0.5143338954468802	0.5024620573355818	0.4806745362563238	0.47527824620573356	0.5666779089376054	0.4936256323777403	0.0	0.575177065767285	0.5810455311973018	0.5105564924114672	0.6190219224283305	0.6429005059021923	0.4998988195615514	0.5204721753794267	0.48013490725126473	0.5090725126475548	0.491602023608769	0.6014165261382799	0.5929848229342327	0.4899831365935919	0.5962900505902192	0.5516357504215852	0.4448566610455312	0.5379426644182125	0.5152107925801012	0.48903878583473864	0.7282967959527825	0.5829342327150084	0.558920741989882	0.49895446880269817	0.46839797639123104	0.5353119730185497	0.4866779089376054	0.4773018549747049	0.5372006745362563	0.6064080944350759	0.5749072512647555	0.43865092748735246	0.4702866779089376
Bathsheba	0.5664755480607082	0.45436762225969646	0.3705902192242833	0.4148397976391231	0.3396964586846543	0.4354806070826307	0.4905902192242833	0.4979426644182125	0.46313659359190557	0.5835413153456999	0.5167622259696458	0.5173693086003373	0.575177065767285	0.0	0.31777403035413154	0.5446205733558179	0.3958178752107926	0.5752445193929173	0.4711635750421585	0.4269814502529511	0.476964586846543	0.4439797639123103	0.44438448566610456	0.5496795952782462	0.43649241146711637	0.461787521079258	0.5537268128161889	0.5061720067453626	0.5385497470489039	0.5542664418212478	0.5653962900505902	0.4082293423271501	0.7960876897133221	0.4456661045531197	0.42772344013490726	0.34043844856661043	0.4832377740303541	0.44768971332209107	0.47015177065767283	0.463743676222597	0.443575042158516	0.3566273187183811	0.5402360876897133	0.4366273187183811	0.39858347386172005
Odysseus	0.6605733558178752	0.46623946037099495	0.356424957841484	0.45254637436762224	0.2851264755480607	0.41713322091062394	0.5538617200674536	0.46981450252951096	0.4281281618887015	0.6031028667790894	0.4613827993254637	0.44795952782462056	0.5810455311973018	0.31777403035413154	0.0	0.5414502529510962	0.4618549747048904	0.4565935919055649	0.5227655986509275	0.4497133220910624	0.4742664418212479	0.4190893760539629	0.4062731871838111	0.4808768971332209	0.43777403035413154	0.47770657672849914	0.5015851602023609	0.424822934232715	0.5915682967959528	0.5421922428330522	0.5581112984822935	0.4725126475548061	0.7753119730185497	0.5724789207419899	0.4739966273187184	0.45510961214165263	0.46172006745362565	0.4098482293423272	0.5363237774030354	0.5400337268128161	0.5107588532883642	0.4735919055649241	0.612141652613828	0.4311635750421585	0.48148397976391233
Ivy	0.562495784148398	0.3884654300168634	0.4932883642495784	0.5318043844856661	0.5775379426644182	0.5622259696458685	0.5769983136593592	0.3668802698145025	0.4961214165261383	0.46934232715008434	0.4972006745362563	0.4336593591905565	0.5105564924114672	0.5446205733558179	0.5414502529510962	0.0	0.544822934232715	0.5069139966273187	0.4791905564924115	0.4518043844856661	0.4488364249578415	0.4623946037099494	0.4526138279932546	0.47433389544688026	0.5811804384485666	0.43298482293423274	0.46462057335581786	0.4460033726812816	0.4969983136593592	0.41639123102866776	0.3998650927487352	0.4799325463743676	0.7222934232715008	0.568026981450253	0.43129848229342327	0.488026981450253	0.41423271500843173	0.4934232715008432	0.4461382799325464	0.45342327150084316	0.42772344013490726	0.5620236087689713	0.5311298482293423	0.43831365935919053	0.503204047217538
Ivanhoe	0.6339966273187184	0.4961214165261383	0.4209106239460371	0.4718381112984823	0.4765598650927487	0.49949409780775716	0.48438448566610454	0.521079258010118	0.5047554806070826	0.6175379426644182	0.48647554806070825	0.5779426644182125	0.6190219224283305	0.3958178752107926	0.4618549747048904	0.544822934232715	0.0	0.6687352445193929	0.4426306913996627	0.489106239460371	0.5689713322091062	0.41038785834738617	0.5433389544688026	0.56	0.46860033726812816	0.5166273187183811	0.5880607082630691	0.5880607082630691	0.5591905564924115	0.6112647554806071	0.5749072512647555	0.48101180438448565	0.84964586846543	0.5498819561551433	0.5146037099494097	0.4719055649241147	0.6128161888701518	0.5488026981450252	0.5954131534569983	0.5635750421585161	0.5233052276559865	0.46037099494097805	0.6742664418212478	0.4882293423271501	0.5079932546374367
Octavia	0.6673861720067453	0.5425295109612142	0.5732883642495784	0.5554806070826307	0.5565598650927487	0.6080269814502529	0.6164586846543002	0.4720404721753794	0.517504215851602	0.6374367622259697	0.5541989881956155	0.48856661045531197	0.6429005059021923	0.5752445193929173	0.4565935919055649	0.5069139966273187	0.6687352445193929	0.0	0.6027655986509275	0.5595278246205734	0.5471838111298483	0.5751096121416526	0.4909274873524452	0.4924789207419899	0.5981112984822934	0.5059021922428331	0.4825632377740304	0.4720404721753794	0.6524789207419899	0.5033389544688027	0.5715345699831366	0.5353119730185497	0.774637436762226	0.6068128161888702	0.44870151770657674	0.5472512647554806	0.49551433389544686	0.49234401349072515	0.5429342327150084	0.5418549747048904	0.4816188870151771	0.5824620573355818	0.5946037099494098	0.53106239460371	0.5496795952782462
Unknown_G2.3	0.5444182124789207	0.3986509274873524	0.45713322091062397	0.4596964586846543	0.5411804384485666	0.5162225969645868	0.4654974704890388	0.4516694772344014	0.4458010118043845	0.5249915682967959	0.46887015177065766	0.489106239460371	0.4998988195615514	0.4711635750421585	0.5227655986509275	0.4791905564924115	0.4426306913996627	0.6027655986509275	0.0	0.4420910623946037	0.4565935919055649	0.3670151770657673	0.45038785834738615	0.44317032040472176	0.43419898819561553	0.45929173693086	0.49861720067453624	0.46381112984822936	0.46529510961214166	0.541787521079258	0.4846543001686341	0.39952782462057335	0.7213490725126476	0.4748735244519393	0.433389544688027	0.4381112984822934	0.5320741989881956	0.5020573355817876	0.48283305227655987	0.4424283305227656	0.4378414839797639	0.47413153456998314	0.5392917369308601	0.4723777403035413	0.43015177065767285
Unknown_G2.2	0.5927824620573355	0.40310286677908935	0.4366273187183811	0.467858347386172	0.4837099494097808	0.4758178752107926	0.4813490725126476	0.4297470489038786	0.3689713322091062	0.5328836424957841	0.4868128161888702	0.42381112984822933	0.5204721753794267	0.4269814502529511	0.4497133220910624	0.4518043844856661	0.489106239460371	0.5595278246205734	0.4420910623946037	0.0	0.4074873524451939	0.4131534569983137	0.39015177065767287	0.461787521079258	0.46833052276559867	0.40681281618887016	0.48168634064080945	0.4319055649241147	0.477504215851602	0.4815514333895447	0.4991568296795953	0.43770657672849916	0.7709274873524452	0.5154131534569983	0.4359527824620573	0.3966947723440135	0.4440472175379427	0.4599662731871838	0.48957841483979764	0.4756829679595278	0.46266441821247895	0.45922428330522763	0.5612141652613828	0.4151096121416526	0.4632715008431703
