	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
Jordan	0.45154358704265674	0.39251021071289505	0.41781528495234554	0.40949287036149296	0.42353756788890323	0.4500323497837025	0.4492350583791375	0.4257669802076063	0.42428334763432574	0.4277129779514952	0.0	0.40856955290701097	0.39928539473334856	0.4404835718746419	0.4142786607500665	0.4222939914364897	0.4982239858841632	0.39977893187313124	0.40240166139130984	0.44068562890931967	0.4404350777511917	0.43158150607189577	0.4490911560059933	0.43909522330739553	0.4315570609139256	0.46019857492615013	0.40849297867913664	0.41741376062019975	0.4589762130601301	0.46052674029877433	0.41957305613781587	0.41588993586002726	0.5659063124419623	0.43525411939740516	0.414057317602323	0.4115172812326232	0.42181442638450445	0.41410223678052804	0.42340285182060144	0.4223107825033177	0.41596489977613726	0.4413005274808518	0.417859163909793	0.42281266731905365	0.46271353745223914
Corey	0.47804635209163715	0.4173940434690403	0.437980822614348	0.446693244715031	0.44294247937940856	0.4405629921794048	0.4662071017925567	0.38957998633880125	0.40650936280781313	0.4290924117805423	0.40856955290701097	0.0	0.4300197218840577	0.4173644379431416	0.4319899687734315	0.3972000370756745	0.5089329105242513	0.42498257977269704	0.44811932230054996	0.40738913299671536	0.42399890457292977	0.4104816941036894	0.4124859467548869	0.3914173312824365	0.4425384766012536	0.43884080215381305	0.41704044014547026	0.4221676214634904	0.4535712302626068	0.42237216943080313	0.42332253737900266	0.4186169244755513	0.5796918072329178	0.39866527908227617	0.39295246251510996	0.3922167986844003	0.40052438931408296	0.3959078073316326	0.4194536999366925	0.43757520425934954	0.41613882983170275	0.41527705693967587	0.44434451676401937	0.40862362843575806	0.4056093415197603
Theodora	0.41865509541043083	0.42013814876003347	0.3992649555294652	0.4599399056952846	0.410280658068431	0.392311018526757	0.4242987306968297	0.40371646537038813	0.440866839514953	0.3905631772967818	0.39928539473334856	0.4300197218840577	0.0	0.4133763318100277	0.4406310672311401	0.384482089758832	0.454929647253533	0.4557773926457554	0.40292981799158917	0.4630805093052442	0.41386928262361267	0.4308980332847053	0.45048444288167766	0.43907163100389723	0.46704929508937876	0.4229520190757206	0.4442639938117601	0.4264852378647841	0.4237309774754646	0.4525835616495329	0.4150394735339527	0.37469938376436135	0.5785409028305184	0.42229525349493363	0.42937198446675306	0.41415693109527957	0.4336264483495108	0.42206021691659296	0.43259020264233644	0.4165579740414055	0.4295430743353836	0.45357619380799424	0.41706931134619	0.3966599835339646	0.4368011256485929
Bathsheba	0.423684800933632	0.4026101026970081	0.41396117838779084	0.4313030329980387	0.4102346581283907	0.4175349145506857	0.4274200047821169	0.42911052133050726	0.42897410993747614	0.438308325851802	0.4404835718746419	0.4173644379431416	0.4133763318100277	0.0	0.40378810537137294	0.40252045933540703	0.44506514863410995	0.42102175499150224	0.3913282217589614	0.43430625545340673	0.4372925391541797	0.4538392959685495	0.44189730488208756	0.4199690549626869	0.45607819125810606	0.44252926611010396	0.4227691239228534	0.39972141871288475	0.46813494186393123	0.4376570665680499	0.45606889811763607	0.414608434966763	0.6017902928866903	0.4092385796460573	0.3991696042467985	0.4013838144578181	0.42069313134835173	0.42900767448874033	0.40172062830913313	0.4301399848014785	0.41025646459774984	0.4082871099166421	0.4040753310850607	0.40126559580950555	0.39856036012694385
Odysseus	0.4567515903848387	0.4231064979116661	0.4031687448683685	0.42265600302820433	0.43355086767347384	0.43438825264965497	0.4325346508147451	0.4192949482062121	0.418713498256033	0.47783067500016785	0.4142786607500665	0.4319899687734315	0.4406310672311401	0.40378810537137294	0.0	0.4329327292136925	0.47845345711290715	0.33242008590759625	0.4488494854693282	0.4328173072662519	0.4517439360140966	0.4377907625709661	0.43221555043440824	0.40345673998761467	0.44468122292743273	0.44496752821883107	0.4030771654437486	0.3804434605282029	0.49546126053020983	0.41164529006253164	0.44558240749731637	0.4007014281075656	0.6017256542805373	0.4421470121494215	0.38672345647490797	0.42137900043767235	0.4129904512934555	0.41485160013556466	0.39904061185665674	0.43705227701745225	0.4099882924344164	0.45485705864986775	0.44470695317657977	0.40443507538204077	0.42499025029222437
Ivy	0.4331843031074281	0.3998678211778037	0.4077830428860945	0.4377877867036101	0.44393565758581477	0.4016170166895355	0.47457676198380083	0.4036008809324403	0.4524841864885285	0.39766540142649165	0.4222939914364897	0.3972000370756745	0.384482089758832	0.40252045933540703	0.4329327292136925	0.0	0.4792144587022857	0.42757550052688226	0.42508167740975206	0.43982405551381726	0.4258646864335816	0.4194811145706207	0.42569292502282635	0.42484482225749454	0.47179541560503263	0.4415631767961191	0.40583474385104035	0.4008371135749112	0.4513160157558083	0.4078794876616726	0.39778668087678615	0.3985289875485457	0.5822956064430986	0.44473730790175836	0.38917297341347634	0.4014965195415714	0.36000157047637943	0.40988684753185506	0.3889300966740608	0.41057748741836053	0.41421696917686	0.4490797100467914	0.42643912149102164	0.3973255670963907	0.4196609699774705
Ivanhoe	0.46127614672772527	0.48752055143201756	0.4796599173297432	0.49325239158269113	0.48095239928686795	0.4829892416870685	0.4560920857526787	0.4948199624087081	0.48287719617619307	0.5028510241254994	0.4982239858841632	0.5089329105242513	0.454929647253533	0.44506514863410995	0.47845345711290715	0.4792144587022857	0.0	0.501386472068217	0.4499571284349841	0.48171760877472725	0.4794809285303233	0.48872902358684295	0.4925000545219776	0.48474378648017813	0.4816353517134796	0.46425559090745944	0.5102641056573085	0.4550593035419876	0.46390468263978585	0.490476716133144	0.5075369102549211	0.4733033218915173	0.6317975725631835	0.49035626415774086	0.4827597785875888	0.46794743230239527	0.49955894110532456	0.49240169398746475	0.46111625544497165	0.48306471620519675	0.4916882984643874	0.4885792175344943	0.48043112187840753	0.4672021717209766	0.47648899443166315
Octavia	0.48758147505320243	0.425162186610088	0.4394692462767077	0.45213687482578263	0.4478912623410888	0.4676436038139643	0.4742772580362849	0.41652555790228285	0.44140809154609667	0.481690589118107	0.39977893187313124	0.42498257977269704	0.4557773926457554	0.42102175499150224	0.33242008590759625	0.42757550052688226	0.501386472068217	0.0	0.4553366018536695	0.44437502668418094	0.46430732523340434	0.4678725937023422	0.4438087738179982	0.4178745780740708	0.4396539939990792	0.4714938914527349	0.3842508921623932	0.3792229674012865	0.5026575423273311	0.42107821480815283	0.4453728491479001	0.4019517950163085	0.5998571313795648	0.46744606742107464	0.3807764216980134	0.4295841926869663	0.41789995808040536	0.4094757865739621	0.3933559341700525	0.42965740208894043	0.4078049481449639	0.46062338772651445	0.4169070829502793	0.3904639464322839	0.43876447562898213
Unknown_G2.3	0.43244979222723173	0.4149986494993823	0.4223302515188994	0.449027810290443	0.43385606568348073	0.4296533809039032	0.4292449552795931	0.4474641506930493	0.4296060111158775	0.4570598521930464	0.40240166139130984	0.44811932230054996	0.40292981799158917	0.3913282217589614	0.4488494854693282	0.42508167740975206	0.4499571284349841	0.4553366018536695	0.0	0.41714277657591353	0.4249599492438868	0.44331771836326095	0.45985031940513854	0.41715892926211834	0.4190102418110513	0.45056828306617325	0.42652475795838285	0.40356814429280374	0.43815682377369414	0.4490565093866352	0.4398363644929559	0.4072265152917581	0.5756760403312653	0.42302547961953374	0.410844832657888	0.4115836537329304	0.4211004340018732	0.4281843612967236	0.41831553414270434	0.39624220033955104	0.411230467474003	0.42252688008315026	0.39013312552537693	0.38975048364187637	0.429810154996117
Unknown_G2.2	0.4547550161630826	0.44241725343411187	0.4261491834028384	0.47191026393307056	0.4315651483824505	0.44052569266765135	0.47488509938523604	0.43474030355069904	0.43927543311895434	0.42205322820681396	0.44068562890931967	0.40738913299671536	0.4630805093052442	0.43430625545340673	0.4328173072662519	0.43982405551381726	0.48171760877472725	0.44437502668418094	0.41714277657591353	0.0	0.4141101921035708	0.38764867383054685	0.38798217418010805	0.39837204422563355	0.44732623558797746	0.44437273633961466	0.4360477128360896	0.4011641202699033	0.4164357146084775	0.41042783977496194	0.416194855299081	0.43520107942094616	0.5883097964534904	0.41310133521138176	0.422357256220014	0.4124009614176282	0.4216671566780723	0.45230956115664517	0.421846432753025	0.4467649955675232	0.4087717880595509	0.4381358807582457	0.41490666285684163	0.42924408516483076	0.4256505228735875
