parasite_load	None	None	Moderate	Moderate	None	Moderate	Moderate	Moderate	Low	Low	None	None	Moderate	Low	None	Low	Low	Low	None	Low	Moderate	None	Low	Moderate	Low	Moderate	Low	None	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	Low	None	Low	None	None	None	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	None	Low	Moderate	Moderate	Low	None	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	None	Moderate	None	Low	None	Moderate	None	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	None	None	None	Low	Low	None	None	Low	Low	Low	Low	Low	Moderate
subject_id	AGMB1	AGMB2	AGMB3	AGMB4	AGMB5	AGMB6	AGMB7	FRCMB1	FRCMB2	FRCMB3	FRCMB4	FRCMB5	G12MB1	G12MB10	G12MB11	G12MB13	G12MB14	G12MB16	G12MB17	G12MB2	G12MB3	G12MB4	G12MB5	G12MB6	G12MB7	G12MB8	G12MB9	G2MB1	G2MB10	G2MB11	G2MB12	G2MB13	G2MB14	G2MB15	G2MB2	G2MB3	G2MB4	G2MB6	G2MB7	G2MB8	G2MB9	LFGMB1	LSGMB1	LSGMB10	LSGMB11	LSGMB13	LSGMB14	LSGMB15	LSGMB16	LSGMB17	LSGMB19	LSGMB20	RSGMB1	RSGMB3	RSGMB4	RSGMB5	RSGMB6	RSGMB7	UNKGMB10	UNKGMB11	UNKGMB12	UNKGMB13	UNKGMB14	UNKGMB15	UNKGMB17	UNKGMB18	UNKGMB19	UNKGMB20	UNKGMB21	UNKGMB22	UNKGMB23	UNKGMB24	UNKGMB25	UNKGMB26	UNKGMB27	UNKGMB28	UNKGMB29	UNKGMB30	UNKGMB33	UNKGMB34	UNKGMB35	UNKGMB36	UNKGMB37	UNKGMB38	UNKGMB4	UNKGMB5	UNKGMB6	UNKGMB7	UNKGMB8	UNKGMB9	URGMB1	URGMB10	URGMB11	URGMB12	URGMB13	URGMB14	URGMB2	URGMB3	URGMB4	URGMB5	URGMB6	URGMB7	URGMB8	URGMB9
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__RFN20	-1.37335889	2.47036885	-0.05678935	2.8177447	-1.30846003	-1.30230721	0.99816993	-1.17531117	-0.92735919	-1.08704151	-0.87477051	3.67075819	-1.44608486	2.34016884	1.49435578	1.26081963	1.82463215	0.1698927	-0.68714592	1.49108561	0.8038727	1.06103169	2.69699761	2.69844269	-1.17551284	0.70470435	0.80247638	2.4785855	1.96854969	3.38374013	1.58981768	3.54814733	-0.12859384	-1.3457614	1.77415632	-0.72669476	0.12359999	2.27807307	0.65708418	-1.47417	2.12629686	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-0.96719949	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	0.01386458	-0.60978334	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-0.09275704	-1.3968404	-1.47767338	-0.11689563	-1.39391961	0.05372265	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	0.03485198	-0.66215129	-1.45743154	-1.40964044	-1.60222542	0.07561542	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	1.98584698	-1.23296201	0.47936942	2.84541795	0.74659135	3.10844102	1.91738432	1.92938367	1.61096683	2.57185856	0.0191515	1.21140356	2.21743788	0.2173612
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium.	-1.373358889	-1.479735665	-1.441828223	-1.400546384	-1.308460028	-1.302307211	-1.303108702	-1.175311168	-0.927359192	-1.087041515	-0.874770511	-1.337922409	-1.446084861	-1.487369116	-1.276805408	-1.377074635	-1.352466334	-1.215468264	-1.378843091	-1.398006495	-1.274526052	-1.240459735	-1.578557604	-1.489847885	-1.175512843	-1.373316389	-1.275075395	-1.2576732	-0.921822067	-1.612347801	-1.299215088	-1.687373764	-1.919451011	-1.345761404	-1.220183307	-1.418682975	-1.261243235	-1.303743327	-1.826949638	-1.474169997	-1.743981808	0.858705874	-0.07796336	-1.650384098	-0.765390456	0.419094873	-0.695441987	-0.014997342	-0.763306001	-1.456772652	-1.514638863	-0.118029513	0.768779451	-0.862008458	-0.008846855	-0.079685459	-1.371878313	-1.371515284	0.083363844	-1.281293532	-1.568108675	0.342384255	0.903149183	-1.476532765	-1.550257009	-0.770607432	-1.478117689	-1.396840401	-1.477673376	-0.81004281	-0.00895577	-1.331527344	-0.722389028	-0.570814655	-1.41852679	-1.355823313	-1.285934224	-1.531710747	0.034851976	-1.354380554	-1.457431542	-1.409640436	-0.90977773	-1.309583202	0.594567504	0.349384991	-0.066592945	-0.108667535	-1.483452991	-1.29380915	-1.190651526	-1.232962009	-1.310935666	-1.177530375	-1.331483215	-1.220175561	-1.259236554	-1.247028198	-1.277944256	-1.338490438	-1.365989429	-1.27190544	-1.182265467	-1.167453355
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__p.75.a5	2.02658708	0.3108846	0.85950138	1.23729432	1.32940669	-0.61038235	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	1.83817673	-1.44608486	1.15058477	0.10806142	0.70120384	-0.6602745	0.1698927	-0.68714592	2.06644976	0.8038727	0.55020607	0.49977303	0.9936946	0.61498245	-1.37331639	-1.27507539	0.82035742	-0.92182207	1.02558519	1.00203102	-0.30200028	0.38223178	0.039026	0.16471841	0.37191753	0.5290651	-0.61229869	0.47476263	-0.78226099	0.04685532	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	0.88723469	2.290849	-0.61924287	-0.48678656	0.74659135	-0.52914514	1.37838782	1.23623649	1.61096683	-1.33849044	0.42461661	1.36555424	0.89568204	0.62282631
k__Bacteria.p__Firmicutes.c__OPB54.o__.f__.g__	-1.37335889	-1.47973567	-0.74993654	-1.40054638	-1.30846003	-1.30230721	0.0818792	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	1.28411617	0.10806142	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-0.70613897	-1.27452605	-0.54840622	-0.19337415	0.81137304	0.20951734	0.01155717	-0.58381798	-0.56593694	0.17679022	-1.6123478	-1.29921509	0.10346483	-0.12859384	-0.65412118	-0.52842877	-0.72669476	-0.56954719	-0.61229869	-1.13467528	-1.47417	-1.05175697	0.34788025	-0.77111054	-0.95804982	-0.76539046	-1.65952137	-1.38759769	-1.40034627	-0.763306	-0.76443997	0.27629838	-0.11802951	-1.53297912	-1.55440995	-1.3942466	-0.77283264	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-0.06308085	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	0.39382575	-1.47767338	-1.502313	-0.70210295	0.05372265	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-0.14626449	-0.65829521	-1.35438055	-1.45743154	-1.40964044	-0.90977773	0.48108053	-1.48403086	-1.44156652	-0.75974013	-0.80181472	-1.48345299	0.09152523	-0.49905967	-1.23296201	0.07390431	-0.48678656	-0.63970301	0.56946715	0.12562485	-1.2470282	0.80003661	-1.33849044	0.93544223	-0.58035591	-0.49061232	0.2173612
k__Bacteria.p__Gemmatimonadetes.c__Gemm.1.o__.f__.g__	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-0.2286749	-1.6123478	-1.2992151	-0.9951475	-0.534059	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	-1.8269496	-1.47417	-1.7439818	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-1.232962	-1.3109357	-1.1775304	-0.639703	0.164002	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-0.6739957	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Lentisphaerae.c__.Lentisphaeria..o__Victivallales.f__Victivallaceae.g__	-1.37335889	-0.09458051	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	0.30328691	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-0.88652133	-1.48984788	-1.17551284	0.92784791	0.1093292	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-0.52842877	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-0.35860979	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-0.56752233	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-0.47578598
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__.f__.g__	-1.37335889	-1.47973567	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-1.74398181	-0.75073204	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-0.763306	-0.76443997	-1.51463886	1.26826485	-1.53297912	-1.55440995	-0.70199404	-1.46507553	-1.37187831	-0.6792826	-1.30179305	-1.28129353	0.51064052	-0.75622803	-1.58090365	-0.7842005	0.24072444	-1.46288528	-1.47811769	0.39382575	0.31320807	-1.502313	0.68419141	0.74686983	-1.41471091	1.03862326	1.98179946	-1.35582331	-1.28593422	-0.14626449	-0.65829521	0.03099589	-1.45743154	0.8919917	-0.90977773	-0.61753176	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__.g__	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-1.6140384	-0.2271778	-1.2992151	-1.6873738	-0.534059	-0.6541212	-1.2201833	-1.418683	-1.2612432	-1.3037433	0.4747626	-1.47417	-1.7439818	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-0.7842005	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-0.5423643	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-1.3659894	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Phenylobacterium	-1.373358889	-1.479735665	-1.441828223	-1.400546384	-1.308460028	-1.302307211	-1.303108702	-1.175311168	-0.927359192	-1.087041515	-0.874770511	-1.337922409	-1.446084861	-1.487369116	-1.276805408	-1.377074635	0.032872682	-1.215468264	0.006001261	-1.398006495	-1.274526052	-1.240459735	-1.578557604	-1.489847885	-1.175512843	-1.373316389	-1.275075395	-1.2576732	-0.921822067	-0.920324961	-1.299215088	0.103464833	0.970018444	-0.654121181	-1.220183307	0.37191753	-1.261243235	-1.303743327	0.944766257	-1.474169997	-1.743981808	-1.44314392	-1.4632791	-1.650384098	-1.457820586	-1.659521367	-1.38759769	-1.400346265	-1.455676984	-1.456772652	-1.514638863	-1.50335995	-1.532979125	-1.554409953	-1.394246605	-1.46507553	-1.371878313	-1.371515284	-1.301793047	-1.281293532	-1.568108675	-1.448515552	-1.58090365	-1.476532765	-1.550257009	-1.462885284	-1.478117689	-1.396840401	-1.477673376	-1.502313	-1.393919615	-1.331527344	-1.414710915	-1.26273621	-1.41852679	-1.355823313	-1.285934224	-1.531710747	-1.350469952	-1.354380554	-1.457431542	-1.409640436	-1.602225421	-1.309583202	-1.484030864	-1.441566516	-0.759740125	-1.494097224	-1.483452991	-1.29380915	-1.190651526	-1.232962009	0.073904314	-1.177530375	-1.331483215	-1.220175561	-1.259236554	-1.247028198	-1.277944256	-1.338490438	-0.673995683	-1.27190544	-1.182265467	-1.167453355
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	-0.68146312	-0.78772769	-0.05678935	0.67767853	-0.61650346	-1.30230721	-0.61126798	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-0.79532537	-1.27680541	1.26081963	0.94916341	-1.21546826	-1.37884309	-0.70613897	0.11072552	-1.24045973	0.21209096	-1.48984788	0.61498245	-1.37331639	-1.27507539	-0.56593694	-0.22867489	0.68911295	0.77888747	0.79661201	-1.22720613	2.05392902	-1.22018331	0.88274315	-1.26124323	0.77399567	-0.036063	0.60403337	0.04685532	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	0.55624795	-1.31093567	-0.48678656	0.05344417	-0.52914514	-1.25923655	0.54308931	-1.27794426	-1.33849044	-1.36598943	0.80593845	0.60799997	-1.16745335
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__.g__	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-0.6871459	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	0.1767902	-0.2271778	-1.2992151	-0.9951475	0.9700184	-0.6541212	-1.2201833	-1.418683	-1.2612432	-1.3037433	-0.036063	-1.47417	-1.7439818	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-0.695442	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-0.8886103	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-1.232962	-0.6192429	-1.1775304	-0.639703	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-1.3659894	-1.2719054	-1.1822655	-0.475786
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Aurantimonadaceae.g__	-1.37335889	-1.47973567	-0.74993654	0.67767853	-1.30846003	-0.61038235	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.18287496	-1.33792241	1.03754054	0.30328691	-1.27680541	-1.37707463	0.03287268	-0.52325448	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	0.58822949	-1.17551284	-0.68159001	-1.27507539	-1.2576732	-1.61403844	-1.6123478	-0.60740689	-0.99514746	0.56455334	-1.3457614	-1.22018331	-0.03354758	-0.56954719	-1.30374333	1.06254929	-1.47417	-1.74398181	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-0.75622803	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	0.20636062	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bradyrhizobiaceae.g__	-1.37335889	-1.47973567	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-0.58508576	-1.37707463	-1.35246633	-1.21546826	0.41146637	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-0.92182207	-1.6123478	-1.29921509	-0.99514746	0.38223178	-0.65412118	-1.22018331	-1.41868298	-1.26124323	-1.30374333	0.25161908	-0.78226099	0.04685532	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-0.75974013	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-0.54236434	-0.61924287	-1.17753038	-0.63970301	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bradyrhizobiaceae.g__Balneimonas	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-0.6871459	-1.3980065	-1.2745261	-1.2404597	-0.8865213	-1.4898479	-0.4836298	-1.3733164	-1.2750754	-1.2576732	-0.2286749	-0.920325	-1.2992151	0.1034648	2.2991544	-1.3457614	-1.2201833	-1.418683	-0.5695472	-1.3037433	0.4747626	-0.782261	-1.051757	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-1.232962	-0.6192429	-1.1775304	-0.639703	-0.5291451	-1.2592366	-1.2470282	-1.2779443	-0.6470173	0.0191515	-1.2719054	-1.1822655	0.2173612
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bradyrhizobiaceae.g__Bradyrhizobium	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-0.7542189	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-0.6871459	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-0.9218221	-0.920325	-1.2992151	-0.3020003	0.5645533	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	0.6570842	-0.782261	0.5576809	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-0.8406585	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-0.7492273	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-0.5423643	-1.3109357	-1.1775304	-0.639703	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-1.3659894	-0.5803559	-1.1822655	-1.1674534
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-0.6871459	-1.3980065	-1.2745261	-1.2404597	-0.1933741	-1.4898479	0.2095173	-1.3733164	-1.2750754	-1.2576732	-1.6140384	-1.6123478	-1.2992151	-1.6873738	-0.534059	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	0.4747626	-1.47417	-1.7439818	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-1.232962	-1.3109357	-1.1775304	-0.639703	-1.2201756	-1.2592366	-0.555523	-1.2779443	-1.3384904	-1.3659894	-1.2719054	-1.1822655	-0.475786
