	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32
UNKG_Unknown_3	0.11447662746552514	0.0900071332243998	0.12014220724373728	0.08540647904984328	0.08040758730731282	0.15463549900020152	0.09829694712506307	0.14989770595835913	0.09204086891617007	0.10607860650732999	0.0	0.03264981585750797	0.08051851738889153	0.1154486888146364	0.10703386738255558	0.1128665343217615	0.11584268881329357	0.12663781394166015	0.13510088986541424	0.10074164656156293	0.11706183353148815	0.16001828481962743	0.13670899924932944	0.11952459779581139	0.1125517701858708	0.15099993887228783	0.16811630842714026	0.09998139978256619	0.10800398391204112	0.09734080619892957	0.08794456944528613	0.11219278783098345	0.11580571960415761	0.16313604251629252	0.08822286280773044	0.15163078278060352	0.10562282574061128	0.0916025552076651	0.09212104900642472	0.1084719555957048
UNKG_Unknown_4	0.12374656608972438	0.1056164688051732	0.1351552743271745	0.0913859354216804	0.09525034210779733	0.15763806628009794	0.11015200412139275	0.15523146785992534	0.09766167562592273	0.11212415250114105	0.03264981585750797	0.0	0.08206813900733329	0.12345588875981256	0.11845465120852389	0.11510927702998074	0.12963826113540342	0.13968764460055033	0.15191475830604587	0.10916388599409255	0.13272179440790718	0.17405701128012985	0.14953671189290532	0.12991655191333407	0.12032040153253816	0.16524978572399862	0.1790028864679232	0.11091159874346296	0.11717502468686922	0.1077758443025247	0.10408987802989664	0.12353160735276	0.13074288381786991	0.1707714380826309	0.08996063819315508	0.14893864107309726	0.11917984426714896	0.09865722770479429	0.09742454981788011	0.11712602643319685
UNKG_Unknown_5	0.11680320808651057	0.09245811600995954	0.12935788474871232	0.09559751714479911	0.0866503932995217	0.15490556697823402	0.11975436899538813	0.16227679927072647	0.11333985702209028	0.11477941588120864	0.08051851738889153	0.08206813900733329	0.0	0.1164337801254749	0.1172383367297078	0.11935825511597542	0.11065050385616884	0.13386824753200316	0.146161840832705	0.10535564310255108	0.12640666038214735	0.16850033930008204	0.1543046025053834	0.13123704421764945	0.11306563449216998	0.1614034571414031	0.16463449377838157	0.09733462059219111	0.1178956668053537	0.10758941450680946	0.10798186715001873	0.12248400535403464	0.12855015793905866	0.1498174657426551	0.10823135243176456	0.17358937292196028	0.11685681284897277	0.09984199928845215	0.12540743549420197	0.11955801555366831
UNKG_Unknown_6	0.10735266597540521	0.09751606086539642	0.15099353079610064	0.1436366854954186	0.11438308615395967	0.12920742949546152	0.0871923663875281	0.11604790556841142	0.10230801963961753	0.04377363577923679	0.1154486888146364	0.12345588875981256	0.1164337801254749	0.0	0.1471477352189199	0.1750314712581704	0.10361898771787333	0.11993849719797993	0.1586311691508046	0.10902192910443552	0.1118925539045724	0.1753343866618912	0.17938384787463713	0.12748762441743616	0.11010481093855895	0.17578522254077392	0.1444311273647137	0.11936871778578849	0.105056427040561	0.12667152258840206	0.1071463657199685	0.10230078182918499	0.1463380872773672	0.1348820129320424	0.1325037229172846	0.20335693939526162	0.10810434966478473	0.0994561451851181	0.1325184150226913	0.08555172829144882
UNKG_Unknown_7	0.10573586387189877	0.08847164734021477	0.08416390979457865	0.06659189146257806	0.07561343694137118	0.14539294644838138	0.10984700320754394	0.1653053903866374	0.12032492572557123	0.12703260466935137	0.10703386738255558	0.11845465120852389	0.1172383367297078	0.1471477352189199	0.0	0.10073424701559919	0.10366057075392338	0.12287689123395736	0.0960368182390621	0.10568331963655664	0.10886951381532074	0.12399319871151773	0.07781984965565403	0.1031753229574065	0.10752276654341346	0.11078644541323253	0.13966154826029634	0.08039048042741773	0.10115497636544588	0.09749002852965181	0.09178485956039527	0.1168566302086834	0.0922465978182329	0.17838860661900177	0.09678411743802176	0.13056736689962703	0.09476736936123753	0.09662003380567095	0.13088732777989168	0.11119770544392911
UNKG_Unknown_8	0.14659251206311347	0.12568649975104879	0.09635389877029686	0.08113409653922243	0.10562911372198422	0.2022497849044112	0.15162377540729385	0.2178528364713694	0.1334595812508812	0.1573802246902981	0.1128665343217615	0.11510927702998074	0.11935825511597542	0.1750314712581704	0.10073424701559919	0.0	0.14633590360223372	0.14868878517942263	0.12784701108004656	0.1282996209799235	0.14884604059846354	0.14875043633208285	0.09442739158419261	0.1358419623005831	0.14534818097925947	0.11329712784446869	0.16495587180949048	0.10535745029863444	0.13031646889211523	0.1176766408228899	0.12706821398927895	0.1425897328950683	0.09082709611984888	0.21509827728101427	0.14000537274138627	0.13727778358243886	0.13402687216281162	0.14628689984164192	0.16110040354836117	0.15976060648193266
UNKG_Unknown_9	0.06692087688966972	0.0731385504752813	0.1004107144727869	0.11009001625078449	0.08387813966703593	0.11001614641573396	0.1147598732686315	0.13927388809892144	0.13452620448724212	0.1064041768813486	0.11584268881329357	0.12963826113540342	0.11065050385616884	0.10361898771787333	0.10366057075392338	0.14633590360223372	0.0	0.11393268597933486	0.11188057672197035	0.10163057469902287	0.10253659360910283	0.11838140368173006	0.13381881906612678	0.08842328094869922	0.0933916782362499	0.11860524328671244	0.10903307730782472	0.08565290320960635	0.0984372654718462	0.10383174974483002	0.10619230766962622	0.11557688373675176	0.11130914886965645	0.1396457775208474	0.11191000885853736	0.18350293258319714	0.08578484800249522	0.0973347737442241	0.15077270780728663	0.10355236031272347
UNKG_Unknown_10	0.1254533240955202	0.10302712982992974	0.10903632731125788	0.12135696059423902	0.09567108875096818	0.1823371170099082	0.12250076028464675	0.18171729647054768	0.12370932155196365	0.11259686144442246	0.12663781394166015	0.13968764460055033	0.13386824753200316	0.11993849719797993	0.12287689123395736	0.14868878517942263	0.11393268597933486	0.0	0.08235946722547256	0.0840279272069841	0.07983322434683943	0.10798805129986191	0.13894448857072872	0.0885059271430414	0.10965083855927948	0.11421272866939731	0.132488739238242	0.08212625703224184	0.09129473127869941	0.10786824285564997	0.10835998601760953	0.07586379838880862	0.12671850670778917	0.18012566209285996	0.15048176524414675	0.2018726653997585	0.135636797267598	0.12495026444577068	0.17258274153569167	0.12383967837613016
UNKG_Unknown_11	0.12277038851346564	0.1006101679417749	0.08201422265877154	0.10294573221295374	0.08697648773219008	0.1765008080399584	0.14096062403786522	0.1898732155764923	0.14360309155311504	0.14095805684322255	0.13510088986541424	0.15191475830604587	0.146161840832705	0.1586311691508046	0.0960368182390621	0.12784701108004656	0.11188057672197035	0.08235946722547256	0.0	0.09343395496397072	0.10167242028516288	0.0654325193487699	0.09849233594810311	0.08874850663307216	0.12024679678452348	0.08866873808048319	0.1330535393022473	0.08522447490375938	0.10285955968905984	0.10242494305700281	0.10658379173066045	0.1099132581237925	0.10392822810126372	0.1938983717564251	0.14710518383372845	0.1763260333107177	0.12645732614141536	0.1289792492958018	0.17535971153426286	0.13512880890092294
UNKG_Unknown_12	0.12321849239128208	0.09237187044605454	0.10822902748061995	0.09917431779406267	0.08253178624312173	0.16202013084576078	0.10916399792342188	0.1665319837271874	0.10698420033983973	0.09815255509936831	0.10074164656156293	0.10916388599409255	0.10535564310255108	0.10902192910443552	0.10568331963655664	0.1282996209799235	0.10163057469902287	0.0840279272069841	0.09343395496397072	0.0	0.09579309620145436	0.11917226318129855	0.13061834761682303	0.09762612013413706	0.09717656803013555	0.12156914961632269	0.15294923983780442	0.07724614773994153	0.07611710562583467	0.10907309281140952	0.09175574847780413	0.09980460232718333	0.12572541938293513	0.15717265693660068	0.12805887283320924	0.1856720987604624	0.11362488362146167	0.10872362420602494	0.13018012961302716	0.11224147116637155
