	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	UNKGMB25	RSGMB6	UNKGMB30	UNKGMB14	UNKGMB13	UNKGMB8	UNKGMB21	LSGMB14	LSGMB11	UNKGMB34	UNKGMB20	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	LSGMB13	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	UNKGMB35	LSGMB19	UNKGMB18	UNKGMB23	UNKGMB17	UNKGMB22	UNKGMB4	UNKGMB15	UNKGMB9	UNKGMB11
LSGMB10	0.41882673942701226	0.38267394270122784	0.37512505684402003	0.3593451568894952	0.41336971350613916	0.4531150522964984	0.3626193724420191	0.4929513415188722	0.45129604365620735	0.3996361982719418	0.0	0.4732150977717144	0.4015006821282401	0.37994542974079126	0.37412460209185994	0.3806275579809004	0.40804911323328785	0.33806275579809003	0.4638926784902228	0.46157344247385174	0.38321964529331515	0.3833105957253297	0.35397908140063666	0.4163256025466121	0.39836289222373805	0.3749431559799909	0.5598453842655753	0.38494770350159163	0.4095043201455207	0.4713051386994088	0.3624829467939973	0.40786721236925877	0.42896771259663485	0.43287858117326056	0.3772169167803547	0.36753069577080494	0.37085038653933605	0.42814915870850384	0.33296953160527515	0.3775807185084129	0.4621646202819463	0.431468849477035	0.3560254661209641	0.39122328331059575	0.36821282401091404	0.3954979536152797	0.355025011368804	0.3469304229195089	0.3537971805366075
UNKGMB28	0.2691223283310596	0.4688494770350159	0.4592087312414734	0.509731696225557	0.4629831741700773	0.596862210095498	0.30877671668940426	0.5378353797180536	0.3001819008640291	0.35188722146430196	0.4732150977717144	0.0	0.4041382446566621	0.45056844020009096	0.502637562528422	0.3863574351978172	0.5648476580263756	0.47066848567530695	0.31355161437016826	0.5775352432924057	0.2966803092314689	0.5278308321964529	0.511368804001819	0.5779899954524784	0.31132332878581176	0.30982264665757164	0.2621191450659391	0.40009095043201454	0.343656207366985	0.6375170532060027	0.314824920418372	0.4175989085948158	0.3527967257844475	0.5927239654388359	0.3985447930877672	0.4623919963619827	0.3529331514324693	0.4812642110050023	0.3178717598908595	0.39499772623919965	0.5396543883583447	0.37198726693951795	0.3882673942701228	0.4119599818099136	0.39949977262391995	0.5447021373351524	0.4946339245111414	0.5036834924965894	0.4442019099590723
RSGMB3	0.3732150977717144	0.4197817189631651	0.4157344247385175	0.4040018190086403	0.3995907230559345	0.55075034106412	0.3413369713506139	0.45393360618462936	0.41268758526603	0.4056844020009095	0.4015006821282401	0.4041382446566621	0.0	0.39363346975898134	0.4336971350613915	0.41814461118690316	0.5281946339245112	0.4352887676216462	0.33619827194179175	0.4933606184629377	0.3539336061846294	0.48285584356525696	0.4551614370168258	0.5041837198726694	0.3402910413824466	0.33951796271032286	0.48249204183719874	0.40159163256025465	0.424056389267849	0.5473851750795816	0.3446111869031378	0.4162801273306048	0.4094133697135061	0.42537517053206003	0.341018644838563	0.40432014552069123	0.374306502955889	0.4405638926784902	0.3117780809458845	0.38335607094133695	0.4983628922237381	0.3793087767166894	0.3537971805366075	0.3112778535698045	0.42323783537971804	0.42582992269213277	0.47503410641200544	0.42905866302864937	0.4407003183265121
LFGMB1	0.3924056389267849	0.45061391541609824	0.29786266484765805	0.3230559345156889	0.38590268303774444	0.42041837198726695	0.36111869031377897	0.5398817644383811	0.4096862210095498	0.3537517053206003	0.37994542974079126	0.45056844020009096	0.39363346975898134	0.0	0.39608913142337426	0.3857662573897226	0.42705775352432923	0.3736698499317872	0.4645293315143247	0.5015006821282401	0.38012733060482035	0.422237380627558	0.3769895407003183	0.46211914506593904	0.39618008185538883	0.3908594815825375	0.5503410641200546	0.36116416552978625	0.4085493406093679	0.45188722146430194	0.3570259208731241	0.3326057298772169	0.3587994542974079	0.3629831741700773	0.41027739881764436	0.35457025920873125	0.38099135970895864	0.39245111414279216	0.3435197817189632	0.3533879035925421	0.3757162346521146	0.4590723055934516	0.3457025920873124	0.406093678944975	0.38967712596634835	0.36898590268303777	0.34220100045475216	0.35038653933606184	0.3386994088221919
RSGMB4	0.43938153706230104	0.3908594815825375	0.3874943155979991	0.33592542064574804	0.3457480673033197	0.4536152796725784	0.37671668940427466	0.4785356980445657	0.4455661664392906	0.38376534788540245	0.37412460209185994	0.502637562528422	0.4336971350613915	0.39608913142337426	0.0	0.41600727603456117	0.2876307412460209	0.37730786721236925	0.4844474761255116	0.40904956798544795	0.4305138699408822	0.4434288312869486	0.38599363346975896	0.3906775807185084	0.4035925420645748	0.3973169622555707	0.568030923146885	0.3957708049113233	0.4075943610732151	0.3933151432469304	0.3702137335152342	0.39649840836743977	0.42487494315598	0.3975443383356071	0.4056844020009095	0.35893587994542975	0.39017735334242837	0.382537517053206	0.3859481582537517	0.376443838108231	0.4427921782628467	0.48626648476580264	0.3879035925420646	0.42633015006821284	0.3721236925875398	0.35452478399272397	0.3425193269668031	0.33692587539790814	0.31418826739427014
UNKGMB36	0.36816734879490676	0.39567985447930876	0.36116416552978625	0.4049567985447931	0.4068212824010914	0.4945429740791269	0.2701682582992269	0.5342883128694861	0.3656662119145066	0.308731241473397	0.3806275579809004	0.3863574351978172	0.41814461118690316	0.3857662573897226	0.41600727603456117	0.0	0.4557980900409277	0.3668485675306958	0.4241018644838563	0.4783992723965439	0.28658481127785357	0.4335607094133697	0.38967712596634835	0.46198271941791724	0.31209640745793543	0.2702592087312415	0.49063210550250114	0.32878581173260574	0.2755343337880855	0.5186448385629832	0.26884947703501594	0.3354706684856753	0.3383356070941337	0.4956798544793088	0.36957708049113236	0.38799454297407915	0.2755343337880855	0.4273306048203729	0.3020463847203274	0.28167348794906777	0.46402910413824466	0.4050022737608004	0.30577535243292403	0.39231468849477036	0.3111414279217826	0.47257844474761257	0.3553888130968622	0.3797635288767622	0.3282855843565257
RSGMB5	0.5122783083219645	0.4374261027739882	0.36766712141882674	0.3817644383810823	0.42155525238744884	0.4353342428376535	0.44351978171896317	0.575943610732151	0.4923601637107776	0.43447021373351524	0.40804911323328785	0.5648476580263756	0.5281946339245112	0.42705775352432923	0.2876307412460209	0.4557980900409277	0.0	0.39249658935879944	0.5849022282855844	0.43874488403819917	0.4690768531150523	0.4291950886766712	0.3889949977262392	0.4530695770804911	0.48185538881309686	0.4567530695770805	0.6363801728058208	0.45329695316052754	0.4505229649840837	0.3840381991814461	0.43337880854934063	0.4216007276034561	0.46248294679399726	0.4072305593451569	0.46157344247385174	0.43174170077307866	0.4351523419736244	0.4386994088221919	0.4567530695770805	0.4446111869031378	0.44470213733515235	0.5364711232378354	0.4282401091405184	0.49972714870395635	0.4045020463847203	0.40977717144156434	0.3547976352887676	0.3731696225557071	0.3663028649386085
UNKGMB12	0.4134606639381537	0.3856753069577081	0.34924965893587995	0.3356980445657117	0.38431105047748976	0.4130968622100955	0.34492951341518874	0.5296043656207367	0.4273306048203729	0.3748522055479764	0.33806275579809003	0.47066848567530695	0.4352887676216462	0.3736698499317872	0.37730786721236925	0.3668485675306958	0.39249658935879944	0.0	0.4957253296953161	0.4482492041837199	0.3598453842655753	0.3311050477489768	0.13465211459754434	0.36430195543428834	0.4050022737608004	0.3632105502501137	0.5458390177353343	0.36275579809004094	0.38303774442928606	0.46844020009095044	0.3413369713506139	0.3727603456116417	0.41114142792178265	0.41223283310595726	0.34761255115961803	0.343656207366985	0.36757617098681217	0.3967712596634834	0.3487494315597999	0.33578899499772624	0.4214643019554343	0.41732605729877215	0.3714870395634379	0.4017280582082765	0.3100954979536153	0.3593906321055025	0.3180536607548886	0.3500227376080036	0.3085038653933606
UNKGMB25	0.32328331059572535	0.4714870395634379	0.4860391086857663	0.4880854934060937	0.4437926330150068	0.6147794452023647	0.32646657571623466	0.4931787175989086	0.3666211914506594	0.40786721236925877	0.4638926784902228	0.31355161437016826	0.33619827194179175	0.4645293315143247	0.4844474761255116	0.4241018644838563	0.5849022282855844	0.4957253296953161	0.0	0.5622555707139609	0.3768985902683038	0.5768076398362892	0.5181900864029104	0.5562073669849932	0.31527967257844475	0.3274670304683947	0.36193724420191	0.43274215552523876	0.4023647112323784	0.6276489313324238	0.32992269213278763	0.4600272851296044	0.4290131878126421	0.5749431559799909	0.375943610732151	0.4941791723510687	0.3921782628467485	0.4909049567985448	0.31641655297862664	0.41127785356980445	0.5444292860391087	0.36193724420191	0.40786721236925877	0.35193269668030924	0.4427012278308322	0.5096862210095497	0.5432469304229195	0.5086402910413824	0.4934970441109595
RSGMB6	0.5331969076853115	0.44411095952705776	0.4434288312869486	0.39290586630286495	0.42874033651659843	0.463256025466121	0.48085493406093677	0.5730331969076853	0.4774442928603911	0.4471577989995453	0.46157344247385174	0.5775352432924057	0.4933606184629377	0.5015006821282401	0.40904956798544795	0.4783992723965439	0.43874488403819917	0.4482492041837199	0.5622555707139609	0.0	0.467712596634834	0.4794452023647112	0.4713506139154161	0.41400636653024103	0.46789449749886314	0.46894042746703046	0.6417917235106867	0.4940882219190541	0.48526603001364255	0.3748067303319691	0.47235106866757615	0.45011368804001817	0.5205547976352888	0.4811277853569804	0.4495225102319236	0.43024101864483855	0.467712596634834	0.41814461118690316	0.44088221919054116	0.44315597999090495	0.4692587539790814	0.538881309686221	0.4282855843565257	0.45870850386539336	0.42755798090040925	0.4034106412005457	0.4536152796725784	0.3536607548885857	0.44738517507958164
